Id,BIRTHDATE,DEATHDATE,SSN,DRIVERS,PASSPORT,PREFIX,FIRST,MIDDLE,LAST,SUFFIX,MAIDEN,MARITAL,RACE,ETHNICITY,GENDER,BIRTHPLACE,ADDRESS,CITY,STATE,COUNTY,FIPS,ZIP,LAT,LON,HEALTHCARE_EXPENSES,HEALTHCARE_COVERAGE,INCOME
78428f47-75c9-a4d3-9cbc-a4803c28bbce,1970-05-01,1977-02-15,999-48-3066,,,,Cruz300,,McClure239,,,,white,nonhispanic,F,Lowell  Massachusetts  US,695 Carter Orchard Suite 93,Sharon,Massachusetts,Norfolk County,25021,02067,42.075744026192794,-71.19094119777286,20497.49,11332.31,160973
34af6283-20ff-7470-563c-444c1a0060b1,2007-02-21,,999-14-4659,S99922054,,Mr.,Dante562,,West559,,,,white,nonhispanic,M,Springfield  Massachusetts  US,687 Wisoky Village,Sharon,Massachusetts,Norfolk County,25021,02067,42.10581100031701,-71.2047086583819,83543.40,725037.15,164260
e6797eec-5b3a-f9d9-0970-d6efdfb67101,1990-07-02,,999-51-5592,S99967646,X58060112X,Mr.,Raúl937,,Abreu185,JD,,M,black,hispanic,M,Salisbury  Saint Joseph Parish  DM,768 Effertz Gateway,Chelsea,Massachusetts,Suffolk County,25025,02151,42.41977034725465,-71.03373318023316,111526.58,15454.71,168360
d994f009-945b-9eb3-7087-7ce893b9e9c5,1988-01-18,,999-94-3154,S99955046,X39775626X,Mrs.,Annemarie794,Grazyna952,Grant908,,Cruickshank494,M,white,nonhispanic,F,Fairhaven  Massachusetts  US,358 Jacobson Arcade Unit 64,Attleboro,Massachusetts,Bristol County,44007,02861,41.9199184252386,-71.33581976828211,409124.10,282003.39,48409
de9ac945-4b31-8f3d-c9f7-786a0828a854,2025-10-11,,999-26-1630,,,,Soraya693,Vella930,Hahn503,,,,black,nonhispanic,F,Malden  Massachusetts  US,560 D'Amore Track Suite 64,Boston,Massachusetts,Suffolk County,25025,02119,42.34094619501551,-71.03016969117247,1617.16,636.62,641779
2b039fe8-dd93-31b5-105f-aa965ed38bfa,2022-10-27,,999-32-1333,,,,Suzy993,Sheryl275,Bosco882,,,,white,nonhispanic,F,Cambridge  Massachusetts  US,458 Wuckert Park Unit 7,Canton,Massachusetts,Norfolk County,,00000,42.19645803276363,-71.12290835272346,12892.61,3614.26,82949
91de6ab6-0192-8ecf-d883-f14786165988,2021-01-06,,999-82-1639,,,,Tomás404,Jacobo456,Garay400,,,,white,hispanic,M,Carolina  Puerto Rico  PR,640 Witting Hollow,Lawrence,Massachusetts,Essex County,25009,01841,42.6979180459834,-71.16182187120796,8713.23,9285.32,99560
09c8046b-c489-929d-125b-6d92cd5b1ad1,2005-11-10,,999-57-3130,S99943918,X38173141X,Mr.,Arnulfo253,Robert854,Hackett68,,,,white,nonhispanic,M,Worcester  Massachusetts  US,985 Graham Highlands Apt 1,Saugus,Massachusetts,Essex County,25009,01906,42.4932585644616,-71.0551046710991,3667.57,53899.95,15697
0bac620c-d691-6d15-7c78-06bff688ed7c,2000-11-22,,999-95-7143,S99937378,X12369734X,Mr.,Aron520,Geraldo282,Hammes673,,,,white,nonhispanic,M,Lowell  Massachusetts  US,180 Goodwin Vista,Newburyport,Massachusetts,Essex County,25009,01951,42.85887238309717,-70.92810711866754,50585.86,57714.97,84961
3c55cb35-7284-e974-59f9-b8246381db8a,1970-05-01,2014-09-02,999-39-7412,S99921037,X85474423X,Mrs.,Candra395,,Franecki195,,Nitzsche158,D,white,nonhispanic,F,Springfield  Massachusetts  US,181 Weimann Light,Sharon,Massachusetts,Norfolk County,25021,02067,42.107980702425,-71.21976591557352,298050.42,966162.99,160973
af3a611d-5c34-c14e-9b68-eb2380fc6cb6,2011-02-14,,999-23-6375,,,,Estela596,Randi364,Oberbrunner298,,,,white,nonhispanic,F,Concord  Massachusetts  US,120 Berge Pathway Unit 57,Ipswich,Massachusetts,Essex County,25009,01938,42.710817384278194,-70.84160147435534,3300.00,125319.66,11242
7fc7310c-3dfa-4284-76ce-457b2039722d,1995-05-31,,999-36-8827,S99971264,X75884548X,Mrs.,Kandis954,Sha84,Osinski784,,Heidenreich818,M,black,nonhispanic,F,Beverly  Massachusetts  US,416 Hansen Estate,Boston,Massachusetts,Suffolk County,25025,02121,42.252359649334835,-71.11908438583193,160281.33,370917.77,78887
95bb760c-16d7-7bc4-4707-fd25cae2c25d,1964-01-04,2003-07-14,999-60-6446,S99980708,X39844902X,Mrs.,Ginger664,Trinh357,Corwin846,,MacGyver246,D,white,nonhispanic,F,Weston  Massachusetts  US,1007 O'Connell Alley Apt 24,Melrose,Massachusetts,Middlesex County,25017,02176,42.42936750122644,-71.034871988411,682385.52,125473.01,113742
801d17ec-aabc-716a-3c83-668ae0eed98d,1974-12-03,,999-84-2376,S99935749,X83513489X,Mrs.,Elana101,Kevin729,Stroman228,,Gerlach374,D,white,nonhispanic,F,Lynn  Massachusetts  US,206 Strosin Quay Unit 6,Boston,Massachusetts,Suffolk County,25025,02210,42.34419079933858,-71.03189934444036,491390.89,187792.47,37692
82ad50b0-761b-30e3-37b6-b73daa8c3eb6,1974-02-12,,999-74-8100,S99947472,X9800365X,Mrs.,Cleo27,Armandina361,Buckridge80,,Kihn564,D,white,hispanic,F,Methuen  Massachusetts  US,337 Cronin Junction Suite 95,Gloucester,Massachusetts,Essex County,25009,01930,42.62316090925019,-70.72187432392428,16754.41,725695.86,18513
